Unique Drugs,Unique Targets,Drug Names,Target Name
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)CCCCCN=C(N)N)CC5)CCCC4)c3Cl)c2n1,,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",
O=C(NP(=O)(N1CCOCC1)N1CCOCC1)c1ccc(Cl)cc1,,"Carbacylamidophosphate, 1b",
Clc1cccc(Nc2ccc3ccccc3c2)c1,,N-(3-Chlorophenyl)naphthalen-2-amine,
O=C(/C=C/N1CC2CC1CN2c1ccccn1)c1ccccc1O,,N-[[3-FLUORO-4-ETHOXY-PYRID-2-YL]ETHYL]-N'-[5-NITRILOMETHYL-PYRIDYL]-THIOUREA,
CCCCC(=O)N(C)CCc1cnc(N2CCN(CCC)CC2)s1,,"1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide",
COc1ccc(CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccc(NC(=O)C(=O)O)cc2)NC(=O)Cc2ccc3ccccc3c2)cc1,,Cethromycin,
CC1(C)OC[C@H](C/C=C\CCCC(=O)O)[C@@H](c2ccccc2)O1,,Mizoribine,
COc1nc2ccc([C@@](O)(c3ccc(C#N)cc3)c3cncn3C)cc2c(C#N)c1OCC(F)(F)F,,BMS-184476,
O=C(/C=N\O)Nc1ccc[n+](CCCCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-],,Tolmetin,
O=C(O)CCCOc1ccccc1-c1cc(-c2ccccc2)n(-c2ccc(F)cc2)n1,,Nirogacestat,
CCCN(CCCc1ccccc1)CCc1ccc(N=[N+]=[N-])c(I)c1,,"1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE",
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(N)=O)[C@@H](C)O,,Donepezil,
NC(=NCCCc1cnc[nH]1)NC(=O)CCC1CCCCC1,,UR-AK49,
Cc1cccc(-c2n[nH]c(=S)n2-c2ccc3c(Cl)c(C(=O)O)sc3c2)c1,,"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",
N=C(NCCCc1cnc[nH]1)NCCC(c1cccc(C(F)(F)F)c1)c1ccccn1,,Serine,
CCCS(=O)(=O)Nc1cc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c(F)c1,,Desomorphine,
CC(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,,Clenproperol,
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4C)c3)c2cc1OC,,Methoserpidine,
Cc1nc(N=Nc2ccc(C(=O)O)c(Cl)c2)c(COP(=O)(O)O)c(C=O)c1O,,MRS-2160,
CNC(=N)NCCSCc1cnc[nH]1,,ABT-751,
O=[N+]([O-])c1ccc(CCN(CCF)CCOc2ccc([N+](=O)[O-])cc2)cc1,,PRX-07034,
NC(=O)c1cccc2c1C(=O)N(C1CCN(C(=O)C3CC3)CC1)C2,,Etrasimod,
COc1cc2ncnc(S(=O)c3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,,Rolapitant,
CC(C)C(CC(=O)OCC1(CO)C/C(=C/c2ccc(C(=O)O)cc2)C(=O)O1)C(C)C,,(2S)-2-{3-[({[2-fluoro-4-(trifluoromethyl)phenyl]carbonyl}amino)methyl]-4-methoxybenzyl}butanoic acid,
COc1cc(OC)c(CC(C)N)c(OC)c1,,"2,4,6-TRIMETHOXYAMPHETAMINE",
Cc1cc(NC(=O)OC(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1,,Zabofloxacin,
Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,,Pemetrexed,
CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C(=O)O)[C@@H](C)OC(C)(C)C,,"4-[(5-ISOPROPYL-1,3-THIAZOL-2-YL)AMINO]BENZENESULFONAMIDE",
C[C@H]1CCc2cc(C(=O)N(C)Cc3ccc4nccnc4c3)ccc2N1C(=O)c1ccc(O)cc1O,,BPC-157,
Brc1cccc([C@H]2C[C@@H](c3cccc(I)c3)n3nnnc3N2)c1,,Tonapofylline,
O=C(OCC(C1CCCCC1)n1c(-c2ccccc2)nc2ccccc21)C1CCN(c2nc3ccccc3n2Cc2ccccc2)CC1,,"2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-6-PYRIDINYL)METHYL]ACETAMIDE",
CCn1c(=Cc2cccc[n+]2CCCCCCNC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)sc(=C2Sc3cc(F)ccc3N2C)c1=O,,2-Amino-4-(Hydroxymethyl-Phosphinyl)Butanoic Acid,
O=C(O)c1cc(CCc2ccc(Cl)cc2)c[nH]1,,4-(4-chlorophenethyl)-1H-pyrrole-2-carboxylic acid,
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)c2cc3cc(c2)C(=O)NC[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc4ccccc4c2)NC(=O)[C@H]2CCCCN2C(=O)[C@@H](CCC(=O)O)NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)O)CNC3=O,,Monoctanoin,
CCCNC(=O)c1cnc2ccccc2n1,,N-Propylquinoxaline-2-carboxamide,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,Terpinen-4-ol,
NCCCC[C@@H](NC(=O)CCCCCNC(=O)c1cn(-c2ncnc3nc[nH]c23)nn1)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(N)=O,,Mazindol,
O=C(O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,,"1,5-diphenyl-1H-pyrazole-3-carboxylic acid",
CCOc1ccc(OCC(=O)N2CCOCC2)cc1,,Profoxydim,
CCOc1nc2ccccc2nc1C(=O)Nc1cc(CN2CCN(CC)CC2)c(O)c(N2CCN(CC)CC2)c1,,Murepavadin,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,,gamma-Glutamylcysteine,
COc1ccc(CCNCC(O)COc2ccc(-c3ncco3)cc2)cc1OC,,2-(N-morpholino)ethanesulfonic acid,
C(#Cc1cccc(CN2CCCCC2)c1)CCN1CCCCC1,,Gabaculine,
O=C(c1ccccc1C(=O)N(CCCN1CCSCC1)CCc1c[nH]c2ccccc12)N(CCCN1CCSCC1)CCc1c[nH]c2ccccc12,,MK-3577,
C[C@@H](Nc1nc(-c2cccc(C(=O)O)c2)c[nH]c1=O)c1ccccc1,,"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",
O=C(O)c1cc2ccc(-n3c(-c4cccc(Br)c4)n[nH]c3=S)cc2s1,,"N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",
CC(C)(C)NCC(O)c1ccccc1Cl,,tulobuterol,
O=C(c1cc2c(cc1-c1cccnc1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2)N1CCCC1,,Boscalid,
NC(=O)C[C@H](NC(=O)C1(NC(=O)[C@@H](CC(=O)O)Cc2ccc(CP(=O)(O)O)cc2)CCN(C(=O)NCCc2ccccc2)CC1)C(=O)NCCCc1ccc2ccccc2c1,,"methyl 4-(2,3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate",
O=C(O[C@@H]1[C@@H]2O[C@]2(CO)[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@@H]12)[C@H]1[C@H](c2ccc(O)cc2)[C@H](C(=O)O[C@@H]2[C@@H]3O[C@]3(CO)[C@H]3[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)OC=C[C@@H]23)[C@H]1c1ccc(O)cc1,,Argenteoside B,
CSCC[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CSSSSC[C@@H]3NC(=O)[C@@H]4CCCN4C(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CSSSSC[C@H](NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)NC(=O)[C@H](CSSSSC[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)O)[C@@H](C)O)NC(=O)[C@@H]5CCCN5C(=O)[C@H](CC(N)=O)NC1=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CSSSSC[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N4)NC3=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSSSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N2,,3-Hydroxypyruvic Acid,
COc1nc2ccc([C@](O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1OCC1CC1,,Compound 19,
CCn1c2ccccc2c2cc(/C=C/c3ccc4ccccc4[n+]3C)ccc21,,Met-33,
O=C(CSc1nnc(-c2ccc([N+](=O)[O-])cc2)n1-c1ccccc1)N1CCOCC1,,"1-(morpholin-4-yl)-2-{[5-(4-nitrophenyl)-4-phenyl-4H-1,2,4-triazol-3-yl]sulfanyl}ethanone",
O=C1c2ccccc2NC(c2ccccc2F)N1CCCCN1C(=O)c2ccccc2NC1c1ccccc1F,,"THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [2-OXO-1-(1H-PYRROLO[2,3-C]PYRIDIN-2-YLMETHYL)-PYRROLIDIN-3-YL]-AMIDE",
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,,"3-chloro-5-[2-chloro-5-(1H-pyrazolo[3,4-b]pyridin-3-ylmethoxy)phenoxy]benzonitrile",
O=S(=O)([O-])CCCC[n+]1c(/C=C/c2c(-c3ccccc3)[nH]c3ccccc23)ccc2ccccc21,,Sul-49,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4C)c3)c2cc1OC,,2-Aminophenol,
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)C[C@@H](N)CCCN(C)C)CC5)CCCC4)c3Cl)c2n1,,MK-7622,
O=C([O-])C[NH+](CP(=O)([O-])[O-])[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O,,3'-1-carboxy-1-phosphonooxy-ethoxy-uridine-diphosphate-N-acetylglucosamine,
CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23,,CXL-1020,
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,,Repaglinide,
NCCCCCC(=O)NCc1cccnc1,,Rebimastat,
C=CC(=C)[C@H](O)C[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)CC(O)CCCCCCCCC)C[C@H]1C,,Pseudouridine-5'-Monophosphate,
Cc1c(Cl)nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c1Cl,,2'-fluoro-5-ethylarabinosyluracil,
c1cc(OC[C@@H]2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1,,"5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE",
COCCC(=O)N1CCC[C@H](Nc2nc(-c3c[nH]c4ncc(Cl)cc34)ncc2F)C1,,"N-(4-CHLOROPHENYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE",
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=O)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(C)=O)C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N1)C(C)C)C(N)=O,,GDC-0623,
COc1cccc(CN2CCC(N3Cc4cccc(C(N)=O)c4C3=O)CC2)c1,,"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE",
CC[C@H](C)[C@H](NC(=O)CNC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Anlotinib,
O=C1N(Cc2cccc3c2OCO3)CCCC12CCN(c1cnc3ccccc3n1)CC2,,"6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide",
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](N)CCCCN)C(C)C)C(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)O,,"(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE",
O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccc(CN2CCCCC2)cc1Cl,,Melengestrol,
CN(C)CCCOc1ccc(CN2CCCCC2)cc1,,GDC-0152,
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,,Entinostat,
CNCCC1CCc2ccccc21,,PF-04995274,
COc1ccc(Br)c2c1C[C@H]1C[C@@H](C(=O)N3CCN(c4ccc5nsnc5n4)CC3)CN(C)[C@@H]1C2,,S-Hydroxycysteine,
Cc1ncc(Cn2c(C)c(CCO)sc2=O)c(N)n1,,Thiamine thiazolone,
N=C(N)SCCCc1cnc[nH]1,,VUF 8328,
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C,,"(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",
CCOc1ccc(/C=C2/SC(=O)N(CCN)C2=O)cc1,,Anidulafungin,
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,,retinol,
COc1ccc(CN(CCN(C)CCNC(=O)c2ccc(-c3c4ccc(=O)cc-4oc4cc(O)ccc34)c(C(=O)O)c2)c2ccccn2)cc1,,(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-[(1R)-1-{[(BENZYLOXY)CARBONYL]AMINO}-2-METHYLPROPYL](HYDROXY)PHOSPHORYL]PROPANOIC ACID,
CN(C)CCOc1ccc(-c2cc(-c3ccncc3)c(-c3ccc4c(c3)CCC4N=O)[nH]2)cc1,,"pyrrole-based compound, 13",
O=C(CCCCCl)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,,PINADOLINE,
Cc1ccc(-c2cc(-c3cc(Br)ccc3O)[nH]c(=O)c2C#N)c(C)c1,,Pyridoxamine,
COc1ccc(CCNCC(O)COc2ccc(COCc3ncc[nH]3)cc2)cc1OC,,Diazoxide,
CCCCC(=O)Nc1ccc2c(c1)nc(CCCC)n2Cc1ccc(-c2ccccc2C(=O)O)cc1,,"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone",
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,,l-Menthol,
c1ccc2[nH]c(NC3CCCc4ccncc43)nc2c1,,"N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE",
CC1=CCC2C(C1)c1c(O)cc(C/C=C/CCCC#N)cc1OC2(C)C,,3-Amino-Alanine,
COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(C)c4)cn3)c2)cc(OC)c1OC,,1164153-22-3,
O=C(O)Cn1cnc2c(NC3CCCC3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,,Estradiol sulfamate,
COc1cc(CNCc2cccs2)ccc1OCC(=O)N1CCOCC1,,Alcloxa,
N=C(N)NCCC[C@@H]1NC(=O)N2C3CCCCC3C[C@H]2C(=O)N2Cc3ccccc3C[C@@H]2C(=O)NCC[C@@H](NC(=O)CCc2ccccc2)C(=O)CCNC1=O,,Hypericin,
Nc1nc2[nH]c(SCc3c(F)cccc3F)nc2c(=O)[nH]1,,Edoxudine,
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCN(CCO)CC1,,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate,
CN1CCN(c2ccc([N+](=O)[O-])cc2NC(=O)c2cccnc2)CC1,,TAS-116,
CCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCC,,Lintitript,
Nc1nccc(-c2ccccc2)n1,,4-phenylpyrimidin-2-amine,
O=C(Nc1ccncc1)[C@@H]1C[C@H]1c1ccccc1,,4-methyl-umbelliferyl-N-acetyl-chitobiose,
O=C(NCCc1ccc(O)cc1)c1cc(C(=O)O)c2cc(-c3cccs3)ccc2n1,,Niacinamide ascorbate,
c1cn(-c2ccc(OCc3ccc(CN4CCCCC4)cc3)cc2)cn1,,Citrulline,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc(F)cc4)cc3)c3c(N)ncnc32)C1,,3-phenyl-5-(1H-pyrazol-3-yl)isoxazole,
COc1ccc(C[C@H](NC(=O)Nc2ccc3c(CN4CCCC4)cn(Cc4c(Cl)cccc4Cl)c3c2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCc2ccccc2)cc1,,6-Chloro-2-fluoropurine,
CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1(C)CCCCCCCCCCCC[C@](C)(NC(=O)[C@@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)COCCOCCNC(=S)Nc2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Oc3cc(O)ccc32)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(N)=O,,Histidine,
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3ccncc3)cc2)cc1,,"[(4R)-4-(3-HYDROXYPHENYL)-1,6-DIMETHYL-2-THIOXO-1,2,3,4-TETRAHYDROPYRIMIDIN-5-YL](PHENYL)METHANONE",
COc1cccc(/C(=C/CNC(=O)C2CCC2)c2ccccc2)c1,,Praziquantel,
COc1nc2ccc([C@@](O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(O)(C(F)(F)F)CC1,,Isavuconazonium,
Cc1ccc(C(=O)NP(=O)(N2CCOCC2)N2CCOCC2)cc1,,"Carbacylamidophosphate, 4b",
O=C(O)c1cc(-c2ccc(CNC(=S)c3ccc(-c4ccc(C(=O)O)o4)cc3)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,,Coblopasvir,
O=C1c2cc(-c3cccnc3)c(OC3CCCC3)cc2CN1c1cccc(-c2nncn2C2CC2)n1,,"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",
CC(C)C[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CS)NC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N1CCC[C@H]1C(=O)O,,CRA_9076,
c1ccc(-c2nnc(-c3ccncc3)o2)cc1,,"4-(5-phenyl-1,3,4-oxadiazol-2-yl)pyridine",
NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,,sangivamycin,
O=C1C=CC2C(=C1)Oc1cc(O)ccc1C2c1cc(C(=O)NCCOCCOCCOCCn2cc(COc3ccc(N4CCN(C(=O)c5cc6c(s5)-c5ccccc5S(=O)(=O)C6)CC4)cc3)nn2)ccc1C(=O)O,,ML349-FL,
COc1ccc([N+](=O)[O-])cc1NC(=O)C(C)Oc1ccccc1C,,CBKinase1_012086,
O=C(O)CNC(=O)Cn1c2c(c3cc(Br)ccc31)CC[C@@H](C(=O)O)C2,,"Mono-[3,4-Dihydroxy-5-(5-Methyl-Benzoimidazol-1-Yl)-Tetrahydor-Furan-2-Ylmethyl] Ester",
CO[C@H]1C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(c2O)C[C@@H](C)C[C@H](OC)[C@H](NCCN(C)C)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O,,6-bromopurine,
Nc1nnc(N2CCN(CCOc3ccc(Br)cc3)CC2)[nH]1,,"[4-R-(4-ALPHA,6-BETA,7-BETA]-HEXAHYDRO-5,6-DI(HYDROXY)-1,3-DI(ALLYL)-4,7-BISPHENYLMETHYL)-2H-1,3-DIAZEPINONE",
COc1cc2nc(N3CCN(S(=O)(=O)c4no[n+]([O-])c4C4=C/C=C\C=C/C=C\4)CC3)nc(N)c2cc1OC,,N-acetylsulfanilyl chloride,
COc1cccc(OC)c1NS(=O)(=O)c1ccc(N=CC2C(=O)Nc3ccc4ncsc4c32)cc1,,"(3S)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide",
CCOC1CCN(C2CN(CC[C@]3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,,Sulfinpyrazone,
CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](C[C@@H](C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,,AKI-001,
COc1ccc(O)c(CCN)c1,,2-(2-aminoethyl)-4-methoxyphenol,
NCCCC[C@H](C(=O)NCc1ccc(CN)cc1)n1cccc1C(=O)NC(Cc1ccccc1)c1ccccc1,,Tarazepide,
O=C(Cn1c(=O)sc2ccc(Cl)cc21)Nc1ccc(C(=O)O)cc1,,Flumethasone,
CN(C)c1ccc(-c2ccc(C(=O)O)cc2)cc1,,4-[4-(dimethylamino)phenyl]benzoic acid,
CC1(C)O[C@H]2[C@@H]3OC4(CCCCC4)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,,"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",
N#Cc1cnc2cc(OC[C@H](O)CO)c(NC(=O)C[C@H]3CCSS3)cc2c1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,,Hydrocortisone aceponate,
O=C1NC(=O)C(c2ccccc2)S1,,"5-phenyl-1,3-thiazolidine-2,4-dione",
CC[C@H](C)[C@H](OCc1ccccc1)[C@H]1[C@H]([N+](=O)[O-])[C@H](c2ccccc2)N[C@]1(C)C(=O)NCCCC(=O)O,,Tromantadine,
O[C@H](COc1ccccc1)[C@H]1CCCCN1,,N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide,
CCCCCCCc1ccc(C(=O)[O-])cc1,,4-heptylbenzoate,
